Item Name,Buy Price,Sell Price,Margin,Limit,1h Volume,Item ID,Filtered By
Shrimps,21,23,2,6000,284,315,Limit × profit < 10k
Trout,20,22,2,6000,3206,333,Limit × profit < 10k
Raw trout,45,47,2,15000,2439,335,Sale price spike (1h vs 7d)
Raw tuna,42,44,2,15000,6875,359,Profit margin < 1gp
Cosmic rune,109,113,2,18000,315024,564,Profit/slot-hr < 20k
Charcoal,165,170,2,13000,81,973,Irregular volumes
Blue skirt,38,40,2,150,8,1011,Limit × profit < 10k
Iron dagger,26,28,2,125,12,1203,Limit × profit < 10k
Iron longsword,25,27,2,125,109,1293,Limit × profit < 10k
Oak logs,36,38,2,15000,8120,1521,Profit margin < 1gp
Steel nails,35,37,2,13000,53851,1539,Profit margin < 1gp
Ruby ring,1028,1051,2,10000,406,1641,Profit margin < 1gp
Gold necklace,153,158,2,18000,4507,1654,Profit/slot-hr < 20k
Amulet of strength,1468,1500,2,125,2520,1725,Profit/slot-hr < 20k
Leather,194,199,2,13000,13271,1741,Profit/slot-hr < 20k
Soft clay,125,129,2,13000,24629,1761,Profit/slot-hr < 20k
Beer,90,93,2,2000,91,1917,Limit × profit < 10k
Bowl,15,17,2,13000,1073,1923,Irregular volumes
Cooking apple,36,38,2,13000,478,1955,Irregular volumes
Raw beef,42,44,2,13000,1241,2132,Irregular volumes
Apple pie,77,80,2,10000,800,2323,Profit margin < 1gp
Fishing rod,94,96,1,40,65,307,Limit × profit < 10k
Raw sardine,23,24,1,15000,1192,327,Purchase price drop (1h vs 7d)
Raw salmon,28,29,1,15000,7935,331,Profit margin < 1gp
Copper ore,11,12,1,13000,1172,436,Profit margin < 1gp
Tin ore,11,12,1,13000,986,438,Profit margin < 1gp
Nature rune,135,138,1,18000,445645,561,Profit/slot-hr < 20k
Chaos rune,106,109,1,18000,934360,562,Profit/slot-hr < 20k
Ashes,33,34,1,13000,867,592,Profit margin < 1gp
Willow shortbow,96,98,1,18000,148,849,Profit margin < 1gp
Adamant arrow,25,26,1,11000,147953,890,Profit/slot-hr < 20k
Plank,130,133,1,13000,11497,960,Profit/slot-hr < 20k
White apron,37,38,1,150,7,1005,Limit × profit < 10k
Leather boots,48,49,1,125,541,1061,Limit × profit < 10k
Bronze sq shield,30,31,1,125,3,1173,Limit × profit < 10k
Staff of water,812,829,1,125,26,1383,Purchase price drop (1h vs 7d)
Logs,23,24,1,15000,6977,1511,Profit/slot-hr < 20k
Maple logs,11,12,1,15000,58097,1517,Profit/slot-hr < 20k
Garlic,24,25,1,11000,140,1550,Irregular volumes
Redberries,50,52,1,13000,2080,1951,Profit margin < 1gp
Stew,128,131,1,10000,711,2003,Profit margin < 1gp
Raw rat meat,50,52,1,13000,17,2134,Profit margin < 1gp
Energy potion(1),30,31,1,2000,16,3014,Name exclusion
Herring,15,15,0,6000,33,347,Profit margin < 1gp
Raw swordfish,190,193,0,15000,27210,371,Profit margin < 1gp
Clay,76,77,0,13000,304,434,Profit margin < 1gp
Iron ore,69,70,0,13000,61064,440,Profit margin < 1gp
Bones,37,37,0,3000,8597,526,Profit margin < 1gp
Willow longbow,107,109,0,18000,3055,847,Profit margin < 1gp
Mithril sq shield,600,612,0,125,15,1181,Profit margin < 1gp
Bronze scimitar,67,68,0,125,5,1321,Profit margin < 1gp
Steel warhammer,133,135,0,125,188,1339,Profit margin < 1gp
Iron axe,123,125,0,40,30,1349,Profit margin < 1gp
Rune essence,12,12,0,20000,7107,1436,Profit margin < 1gp
Yew logs,105,107,0,12000,114844,1515,Profit margin < 1gp
Willow logs,22,22,0,15000,9163,1519,Profit margin < 1gp
Diamond amulet,2034,2075,0,10000,174,1700,Profit margin < 1gp
Shears,98,99,0,40,6,1735,Profit margin < 1gp
Wool,18,18,0,13000,31,1737,Profit margin < 1gp
Yellow dye,196,200,0,150,67,1765,Profit margin < 1gp
Bowl of water,32,32,0,13000,28039,1921,Profit margin < 1gp
Jug of water,15,15,0,13000,83055,1937,Profit/slot-hr < 20k
Potato,23,23,0,13000,1025,1942,Profit margin < 1gp
Egg,26,26,0,13000,140,1944,Profit margin < 1gp
Onion,25,25,0,13000,30,1957,Irregular volumes
Cabbage,33,33,0,6000,283,1965,Limit × profit < 10k
Chocolate bar,30,30,0,13000,132,1973,Profit margin < 1gp
Tomato,21,21,0,13000,68,1982,Profit margin < 1gp
Cheese,59,60,0,13000,735,1985,Profit margin < 1gp
Raw chicken,32,32,0,13000,3177,2138,Profit margin < 1gp
Plain pizza,441,450,0,10000,122,2289,Profit margin < 1gp
Bread,80,81,0,6000,129,2309,Profit margin < 1gp
Fly fishing rod,98,98,-1,40,18,309,Limit × profit < 10k
Raw shrimps,26,25,-1,15000,1441,317,Profit margin < 1gp
Raw anchovies,18,17,-1,13000,132,321,Profit margin < 1gp
Lobster,97,97,-1,6000,5454,379,Profit margin < 1gp
Gold ore,159,161,-1,30000,256211,444,Profit margin < 1gp
Coal,139,140,-1,13000,386877,453,Profit margin < 1gp
Death rune,190,192,-1,25000,811134,560,Profit margin < 1gp
Law rune,123,124,-1,18000,269427,563,Profit margin < 1gp
Shortbow,51,51,-1,18000,9,841,Profit margin < 1gp
Maple shortbow,163,165,-1,18000,2224,853,Profit margin < 1gp
Studded chaps,239,242,-1,125,55,1097,Profit margin < 1gp
Bronze dagger,101,102,-1,125,143,1205,Profit margin < 1gp
Bronze battleaxe,53,53,-1,125,6,1375,Profit margin < 1gp
Adamant mace,549,559,-1,125,17,1430,Profit margin < 1gp
Gold amulet,139,140,-1,18000,8,1692,No 3h average data
Ball of wool,69,69,-1,13000,2011,1759,Profit margin < 1gp
Chocolate cake,130,131,-1,6000,27,1897,Profit margin < 1gp
Chocolate dust,57,57,-1,13000,604,1975,Profit/slot-hr < 20k
Cooked chicken,81,81,-1,6000,6039,2140,Profit margin < 1gp
Purple gloves,869,885,-1,150,5,2942,Profit margin < 1gp
Energy potion(2),84,84,-1,2000,120,3012,Name exclusion
Raw t-bone steak,185,187,-1,13000,22,33106,Irregular volumes
Antipoison(3),275,278,-2,2000,47,175,Profit margin < 1gp
Swordfish,194,195,-2,6000,11147,373,Profit margin < 1gp
Black full helm,533,541,-2,125,50,1165,Profit margin < 1gp
Black dagger,337,341,-2,125,40,1217,Profit margin < 1gp
Gold ring,131,131,-2,18000,1619,1635,Profit margin < 1gp
Cowhide,130,130,-2,13000,330,1739,Profit margin < 1gp
Kebab,61,60,-2,6000,8,1971,Profit margin < 1gp
Silver ore,69,67,-3,13000,58814,442,Profit margin < 1gp
Maple longbow,272,274,-3,18000,840,851,Irregular volumes
Water talisman,278,280,-3,11000,313,1444,Profit margin < 1gp
Emerald,288,290,-3,13000,17565,1605,Profit margin < 1gp
Ruby necklace,1170,1190,-3,18000,32832,1660,Turnover ETA > 6h
Hard leather,181,181,-3,13000,760,1743,Profit margin < 1gp
Iron bar,175,175,-3,10000,28137,2351,Profit margin < 1gp
Gold bar,70,68,-3,10000,173012,2357,Profit margin < 1gp
Adamantite ore,557,564,-4,4500,54195,449,Profit margin < 1gp
Steel chainbody,207,207,-4,125,100,1105,Profit margin < 1gp
Mithril med helm,230,230,-4,125,117,1143,Limit × profit < 10k
Mithril axe,148,146,-4,40,56,1355,Profit margin < 1gp
Iron platelegs,55,51,-5,125,10,1067,Profit margin < 1gp
Pie shell,290,290,-5,13000,427,2315,Profit margin < 1gp
Silk,24,18,-6,18000,248,950,Profit margin < 1gp
Sapphire ring,436,438,-6,10000,3414,1637,Profit margin < 1gp
Spinach roll,361,361,-7,50,6,1969,Limit × profit < 10k
Ring of forging,1038,1052,-7,10000,138,2568,Profit margin < 1gp
Sapphire,177,172,-8,13000,11400,1607,Profit margin < 1gp
Diamond necklace,2066,2100,-8,18000,1238,1662,Profit margin < 1gp
Raw bear meat,225,220,-9,13000,11,2136,Profit margin < 1gp
Rope,49,39,-10,250,1267,954,Profit margin < 1gp
Iron pickaxe,75,65,-11,40,56,1267,Profit margin < 1gp
Black axe,1043,1053,-11,40,55,1361,Profit margin < 1gp
Earth talisman,619,620,-11,11000,1518,1440,Profit margin < 1gp
Mithril warhammer,877,882,-12,125,13,1343,Profit margin < 1gp
Steel battleaxe,170,161,-12,125,69,1365,Profit margin < 1gp
Teleport card,204,195,-12,500,24,13658,Profit margin < 1gp
Black warhammer,661,661,-13,125,6,1341,Profit margin < 1gp
Steel bar,600,598,-13,10000,152021,2353,Profit margin < 1gp
Monk's robe (t),5500,5597,-14,4,3,23306,Profit margin < 1gp
Steel full helm,118,105,-15,125,8,1157,Limit × profit < 10k
Steel platebody,991,991,-19,125,1176,1119,Profit margin < 1gp
Rune axe,7252,7380,-19,40,449,1359,Profit margin < 1gp
Black kiteshield,1031,1031,-20,125,12,1195,Profit margin < 1gp
Uncut emerald,412,400,-20,10000,14197,1621,Profit margin < 1gp
Emerald ring,628,619,-21,10000,686,1639,Profit margin < 1gp
Wine of Zamorak,931,927,-22,11000,6122,245,Profit margin < 1gp
Uncut diamond,2446,2470,-25,10000,35430,1617,Profit margin < 1gp
Mithril sword,313,292,-26,125,8,1285,Profit margin < 1gp
Diamond,1625,1630,-27,11000,23010,1601,Profit margin < 1gp
Body talisman,1485,1486,-28,11000,43,1446,Profit margin < 1gp
Mithril platebody,2900,2925,-33,125,287,1121,Profit margin < 1gp
Adamant plateskirt (g),3691,3732,-33,8,10,3475,Profit margin < 1gp
